views_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k
740,436,962,17,1,547,4993,13,1
241,114,994,18,0,184,4958,31,0
1094,385,959,12,0,758,5036,14,0
3243,358,1049,16,0,596,4999,20,0
887,171,958,4,0,242,5026,6,0
749,395,1003,3,0,615,5009,2,0
878,427,976,13,0,641,5045,14,0
12399,374,983,12,0,694,4964,20,0
855,354,950,8,0,688,4985,21,1
121,16,981,1,0,31,5012,2,0
592,211,1038,32,3,362,5018,52,5
1904,303,1042,2,0,549,5035,7,0
335,185,1020,50,1,238,5029,66,2
2593,326,1016,34,0,562,4990,71,0
569,217,1033,5,0,400,5023,11,0
1443,196,969,6,0,300,4973,3,0
1092,130,1043,10,0,181,5031,16,0
199,98,984,0,0,156,4998,2,0
235,136,1048,12,0,218,4967,21,0
2463,356,1040,6,0,602,4956,19,0
363,199,1039,5,0,246,4953,10,1
2213,271,1027,50,0,499,5039,93,0
316,164,966,12,0,286,5018,22,0
4624,460,967,22,0,733,5009,30,1
598,107,994,6,0,143,5004,6,0
3885,510,1042,11,0,634,4965,8,0
2975,164,1033,2,0,227,5048,5,0
457,49,1002,2,0,94,5039,3,0
4577,404,1040,41,0,646,5031,68,1
614,344,1031,47,0,491,4978,69,1
89,55,1017,0,0,75,4972,1,0
512,250,1014,10,0,341,4963,18,0
3141,381,950,103,0,533,5028,147,0
2086,220,1007,14,0,330,4998,22,0
560,105,975,11,0,144,4982,18,0
7784,502,969,18,0,984,4974,28,0
356,133,1036,7,0,244,4970,13,0
1033,402,959,8,0,671,4966,12,0
6907,330,1008,12,0,504,4972,22,0
691,377,1024,7,1,646,5006,15,2
947,345,990,21,0,637,5030,31,0
2509,276,954,17,0,536,5007,26,0
635,333,1014,36,2,431,4963,43,2
3580,387,966,18,0,747,5042,35,1
595,340,971,11,0,519,4969,12,0
2831,305,1047,2,0,447,4979,0,0
2297,347,990,32,2,641,4968,54,4
7204,578,1042,44,0,841,5002,60,0
5994,915,1017,54,2,1408,5005,72,4
314,193,1018,2,0,255,5026,4,0
3102,484,960,31,5,796,5031,55,9
4104,594,1005,23,0,1052,4972,57,1
920,83,1000,3,0,144,5011,6,0
795,319,970,9,1,494,4982,10,2
3470,359,1048,14,0,551,4967,23,0
1606,648,1025,14,0,1030,5022,23,1
2335,385,975,23,0,561,4982,38,0
99,53,968,4,0,88,4981,7,0
1038,462,1009,3,0,886,5010,10,0
1913,174,1020,13,0,326,5003,29,0
112,40,996,1,0,72,4966,4,0
4910,660,1020,16,0,1268,4968,21,0
3167,172,975,10,0,222,5040,10,0
1182,41,989,1,0,65,5019,1,0
634,256,954,23,0,423,5048,40,1
392,245,970,5,0,358,4983,3,0
13183,354,1027,17,1,676,5033,30,3
1801,272,953,11,1,370,4974,18,2
170,84,972,24,2,143,5017,42,3
2153,228,1033,11,1,312,5023,14,1
1834,319,964,8,0,546,5023,24,1
7400,287,1042,39,0,373,5037,50,0
339,126,957,7,0,233,5034,18,1
967,594,990,34,3,741,4960,34,3
802,280,968,18,1,555,5040,37,2
248,50,995,1,0,60,4965,1,0
1308,251,977,15,0,339,5039,23,0
2966,304,1040,4,0,393,5010,4,0
1795,676,1017,34,0,1083,5043,63,1
3478,284,964,14,0,422,5029,23,1
2500,125,1048,2,0,230,4956,8,0
8296,480,986,29,0,774,4965,37,0
6223,538,950,17,0,1041,5048,39,1
384,189,1016,29,0,363,4965,61,0
52,29,973,0,0,44,4989,0,0
10071,439,976,19,1,832,4961,48,3
552,360,989,34,0,469,4984,39,0
352,128,1012,3,0,222,4970,3,0
3754,757,1010,18,1,1037,4999,32,2
5824,452,985,20,2,891,4992,46,5
211,112,1047,1,0,197,5049,0,0
5468,615,1042,92,0,921,4966,136,0
576,265,973,7,0,425,4981,10,0
985,136,973,0,0,218,4990,0,0
492,186,953,3,0,335,4955,5,0
934,92,1016,9,0,152,5037,15,1
207,120,983,8,0,180,4976,15,1
234,135,1006,1,0,217,4969,4,0
492,231,998,18,1,416,4974,30,2
5045,506,1036,8,0,711,5015,26,3
548,349,1002,49,1,506,4958,71,2
1002,401,972,19,0,640,5041,31,1
1753,315,1018,32,0,449,5002,46,0
1305,152,1044,11,2,226,5010,16,3
955,444,1002,16,0,581,4987,21,0
580,262,1011,18,1,510,4952,28,2
17679,478,990,33,2,902,5033,57,3
2966,392,1006,20,0,685,5019,52,0
2855,307,1009,75,0,449,5046,111,0
5197,472,1003,17,2,793,5004,28,3
2786,585,1019,72,3,798,4950,107,4
170,116,1006,12,0,160,5019,16,1
746,113,959,12,0,195,4994,23,0
333,154,989,8,0,287,5047,20,0
500,170,956,5,0,302,4996,10,1
706,420,987,28,1,670,5028,33,1
4468,645,1034,23,0,828,4975,26,0
162,69,1010,7,0,116,4963,12,0
692,303,1033,23,1,444,5003,36,3
4376,324,952,9,0,599,5020,22,0
740,355,1000,9,0,583,4995,6,0
892,430,1035,60,4,623,4980,90,6
4667,410,996,65,6,759,5037,120,12
235,115,1017,13,0,167,5008,18,0
477,204,1041,6,0,381,5044,8,0
481,287,1025,5,0,373,4978,9,0
3624,641,987,12,0,1010,5045,23,0
836,165,985,6,0,203,4966,9,0
1636,340,990,6,0,423,4963,12,0
629,309,1018,5,0,590,4985,4,0
672,338,962,12,0,466,5007,22,0
1306,243,1036,7,0,321,4973,12,0
436,322,1007,24,3,394,5012,29,4
103,61,999,2,0,85,5040,4,0
933,162,979,21,1,243,4974,32,2
466,56,1011,2,0,73,5008,2,0
935,486,974,20,1,766,4981,34,2
168,57,976,1,0,101,5031,2,0
816,325,1000,5,0,526,4967,9,0
1924,247,1027,8,0,355,4986,17,0
2325,172,1006,13,0,249,4975,18,0
3582,275,996,9,0,535,4958,26,0
753,83,1049,2,0,163,5048,4,0
820,418,988,20,0,516,5013,27,0
408,14,965,0,0,26,5021,1,0
3057,510,971,19,1,790,4969,29,1
1514,156,1034,0,0,240,5003,1,0
1704,346,1003,7,0,487,5035,5,0
2120,378,970,26,1,486,5032,37,2
553,228,1021,3,0,382,4979,10,0
517,255,965,40,4,418,5002,57,6
3390,152,1008,9,0,274,5041,18,1
688,335,980,5,0,584,5048,2,0
7742,463,991,27,7,637,5012,44,12
862,151,1023,1,0,239,4960,0,0
584,230,981,16,1,436,4980,31,1
1529,578,1008,5,0,1075,4998,0,0
5397,510,983,43,3,865,5049,67,5
7885,576,958,16,0,1113,5043,45,1
9080,506,1030,53,2,695,5036,78,4
