video_id,channel_name,video_length,views_final,impressions_final,like_final,comment_final,views3s_1k,impressions_1k,like_1k,comments_1k,views3s_5k,impressions_5k,like_5k,comments_5k,reaches_5k
c297a82a-1d19-423d-8323-5efb1dddb260,channel_50,282,785,6010,22,5,202,1000,4,1,254,5000,5,0,False
4156c9a2-5cac-414b-98c0-9c7c683f1cef,channel_604,1740,470,4300,12,2,123,1000,6,0,208,5000,5,0,False
5712faff-d941-44bf-9d3e-1b313abb68b2,channel_410,1077,341,4872,21,3,86,1000,2,0,136,5000,2,0,False
e9c3fd9a-c438-463f-b0e8-115df822a858,channel_236,1631,1775,10033,106,14,262,1000,7,2,422,5000,24,3,True
d611914e-c7af-4050-b5e9-86ca02b983ab,channel_561,284,1480,12792,58,10,163,1000,2,0,254,5000,14,0,True
e6a72c87-cd85-4d71-b6b5-a3d9f033e5e3,channel_386,1786,248,3567,13,2,85,1000,6,0,148,5000,3,0,True
6c769c97-3b88-448c-aee0-0f13aa0e54fe,channel_738,658,1760,14368,52,7,180,1000,2,0,418,5000,8,1,True
7bed2214-c76b-44f3-a6b0-c97cf2f2bce8,channel_892,1623,259,4335,6,0,70,1000,1,0,91,5000,1,0,False
3cb39f0f-6eec-4354-839f-5bcdb8b9b8f2,channel_770,922,652,5586,29,5,186,1000,3,0,331,5000,11,1,False
bfeb8285-b761-42b9-8017-73bc750cd30f,channel_121,1052,821,3914,27,5,255,1000,14,1,325,5000,12,0,False
427365d3-a882-4d0f-baeb-0091fc45e905,channel_909,220,1041,4679,72,7,285,1000,8,0,472,5000,14,0,False
8aef5de1-519c-4469-9a02-14fe86d204bd,channel_701,1035,1830,10903,92,16,233,1000,12,1,339,5000,11,1,True
db3c1a8a-8299-4a94-9cad-b924bb609f27,channel_851,909,323,4937,22,2,104,1000,1,0,172,5000,8,0,True
2ba9ae4d-c73d-423d-bb6d-56e733a06772,channel_478,370,1136,5834,45,10,255,1000,12,0,368,5000,25,2,True
634591bd-ca0f-4f71-b632-5aeb871e0e48,channel_341,1093,199,4908,6,1,61,1000,1,0,107,5000,2,0,False
dedaf1bd-9f52-45cb-a9d6-6f699714f806,channel_474,1411,735,8558,31,5,131,1000,8,0,297,5000,16,0,True
4c38789c-c32c-479d-8586-747fa1e88780,channel_260,331,490,10469,28,4,64,1000,1,0,152,5000,6,0,True
451dbd93-2baf-4da8-8a97-576870d7c054,channel_596,504,282,5821,17,1,71,1000,5,0,117,5000,3,0,False
afdbe2a0-cb90-4bda-9def-5de4d5fea0c5,channel_899,1029,776,4550,33,6,233,1000,14,0,412,5000,21,2,True
e51fa1c2-651f-48c5-ae62-420f59000b67,channel_712,1745,630,5534,35,1,170,1000,10,1,239,5000,7,0,False
1c3f97e2-f484-4549-855a-0ce982a22f15,channel_223,681,990,4820,39,6,285,1000,10,1,426,5000,11,1,False
fd7664d7-707e-4874-9b7c-49d86415b3f3,channel_526,835,784,3913,48,7,266,1000,17,1,381,5000,11,1,False
f5296303-6ef7-45b2-9573-ec6ee9315caa,channel_455,1786,436,3852,22,3,164,1000,6,0,247,5000,8,0,False
83199ee9-b90e-44b9-bad2-2814bcad11e4,channel_757,341,359,4115,7,1,110,1000,7,0,166,5000,1,0,False
e5e8f9e1-d6ee-4029-b562-adc36b55dbde,channel_19,380,547,3192,20,4,195,1000,12,0,339,5000,9,1,False
048b848b-5496-4b1b-bcfc-9fa2dfb9a43a,channel_53,417,786,3225,54,5,288,1000,15,1,372,5000,12,0,False
f9332efe-3c18-41fc-819a-4d34ca6b2409,channel_685,1536,351,4644,12,1,117,1000,4,0,261,5000,15,2,True
f4fc55e9-6973-4022-991f-751179a9ae68,channel_471,1412,1321,6447,79,11,296,1000,23,2,688,5000,34,1,True
c97164a9-af56-48cc-80ab-d8ca7236e134,channel_361,1404,564,4298,13,5,183,1000,10,1,405,5000,13,1,True
79acb344-8ba1-4201-b6c1-4c1c2a024b23,channel_232,346,905,3770,63,7,297,1000,8,2,409,5000,5,1,False
2132d326-bd9f-49be-bfbf-e8c128838732,channel_671,718,407,7292,22,1,62,1000,1,0,120,5000,1,0,True
3b826bbe-20c7-49dd-8c3f-6f23ff91414c,channel_982,749,1608,6274,98,11,296,1000,9,1,429,5000,10,1,True
a42fd3fb-e84a-4ff3-bd0b-a6f87a73ee21,channel_58,1095,1736,11506,120,12,186,1000,5,1,397,5000,11,3,True
bfa4ef90-2ea8-4ae2-8657-802e135bf974,channel_928,1302,832,8862,57,4,120,1000,3,1,289,5000,10,0,True
aad32959-cdf9-4fa8-ac4e-acdf9bf023c4,channel_139,1257,1178,9271,26,5,191,1000,11,1,355,5000,18,0,True
ab9b8f63-b8ff-457a-800b-efff3d674931,channel_337,1501,703,3578,21,5,229,1000,7,0,571,5000,23,0,True
39d31552-07c4-419b-bab7-091cda78477e,channel_204,1045,1134,5559,60,3,244,1000,2,0,456,5000,8,2,True
80fda998-fb16-48e0-841c-e4e24c63a889,channel_491,345,941,4783,53,2,274,1000,8,2,673,5000,46,4,True
4ff90639-9e77-4198-ae7d-ee5d951ce558,channel_726,1452,1346,5850,57,6,262,1000,19,1,512,5000,28,2,True
d5cbb35e-fb6f-4e0d-a17d-561e8ece5e4b,channel_902,259,599,4229,22,4,159,1000,1,0,280,5000,4,0,False
bab813e2-c3a0-46b9-91b9-a0e514006b23,channel_477,982,477,4277,27,1,172,1000,13,0,278,5000,10,1,True
c2b3a7b5-860d-4e02-a3a3-2a01e528625e,channel_48,1223,280,4738,16,1,75,1000,4,0,125,5000,2,0,False
2b5b8833-3167-49c2-b18a-48d6b90cfdcf,channel_889,298,811,3399,29,4,292,1000,7,2,713,5000,15,4,True
78b8da2d-f5c3-4fee-96af-ceccada3ba43,channel_548,1475,567,12781,30,5,66,1000,1,0,96,5000,6,0,True
ade32522-7a8e-4b3b-953d-06a76a7727a3,channel_615,1644,698,9624,20,6,81,1000,5,0,167,5000,5,0,True
e2b6be5a-8e1b-464f-9910-164b0a29341c,channel_915,319,854,8616,48,2,125,1000,9,1,224,5000,14,0,True
29d0ffb7-8de2-4526-a3ea-66b0f334169a,channel_236,151,346,8417,11,1,50,1000,1,0,117,5000,7,0,True
ccd54e52-e2d7-4e60-a095-b57c3837b219,channel_126,1713,913,11513,39,5,111,1000,2,0,219,5000,3,0,True
57e8b976-9655-444c-9dbd-6823ed9adbb6,channel_154,439,312,5023,17,1,83,1000,5,0,123,5000,2,0,False
e28eafa7-ba09-40f4-91e2-f8b03e766c40,channel_533,574,1384,10586,51,3,203,1000,14,1,330,5000,17,2,True
cece2c25-b236-4512-b749-2b5aaca1e387,channel_16,1546,488,15055,30,1,50,1000,1,0,122,5000,1,0,True
f2188ec0-4db5-4a41-99e8-962761e4cc81,channel_994,656,393,5970,22,1,100,1000,5,0,187,5000,12,0,True
0367d4cd-1d81-4c40-8a9b-21d4957e3c47,channel_485,1368,326,3951,8,1,127,1000,5,0,192,5000,7,0,False
02c24a9d-9dfb-4f46-a6b2-f417b1058086,channel_31,18,1478,11649,44,11,172,1000,2,0,302,5000,20,0,True
011a0cfb-7936-40a7-8ba1-b7aa2a021362,channel_478,157,502,4370,13,1,183,1000,2,0,307,5000,10,0,False
67d4bb2e-49bd-4d6d-bfd0-0cc92b5b1081,channel_490,779,500,5248,31,4,148,1000,2,0,236,5000,9,0,True
e3e2768c-8204-4293-b111-828d6284e490,channel_856,595,975,6401,56,2,215,1000,6,0,532,5000,26,4,True
89ab0ce6-baab-4dbd-86f7-f895ff01b4a4,channel_833,1379,498,5756,19,4,132,1000,7,0,177,5000,2,0,False
76e2f0b4-1b81-441c-973e-27911bc9dc6c,channel_606,1484,1427,10451,51,7,163,1000,11,1,331,5000,7,1,True
e4a631c7-9701-414a-9497-79b05149555e,channel_713,470,774,4695,49,6,232,1000,7,0,345,5000,9,1,False
1d2c6e75-6f1c-4187-a03a-110b5a31bb9f,channel_51,963,934,5308,53,8,196,1000,7,0,384,5000,22,0,True
32594c57-5d7e-424f-a991-a1a1e90e1dfb,channel_934,1117,1616,10315,112,5,204,1000,2,1,294,5000,17,0,True
7e4f9c62-edd3-4d5f-90f6-ff76e1eb2910,channel_793,205,775,4005,34,4,294,1000,7,1,618,5000,29,3,True
1613647e-0ec6-4ce0-883b-371fc89b5e43,channel_617,828,900,3988,51,3,297,1000,19,1,434,5000,15,0,False
547f5706-85dc-447e-96d2-ca1d75670f3e,channel_964,1361,609,4008,15,3,230,1000,3,0,396,5000,12,1,False
f79d3666-71e5-4272-aaac-285f4e9c0150,channel_623,139,1663,10955,69,6,227,1000,10,2,522,5000,22,1,True
f6fd9f0d-656a-4e5b-93d6-dc2a142b0522,channel_80,1768,392,3600,15,1,128,1000,10,1,154,5000,3,0,False
4db5bb3b-f7bf-448b-b23c-372f7c1a1d07,channel_396,1051,242,4765,14,0,70,1000,4,0,99,5000,3,0,False
86c304f7-58e2-4da8-984a-be1451d5a9a5,channel_838,1493,523,4891,36,4,166,1000,6,0,256,5000,2,0,False
3c31064a-7b6c-4442-b498-758d97582abd,channel_174,1308,607,5749,18,3,153,1000,7,0,189,5000,4,0,False
5bc32ac1-e491-402a-a231-96ad47127258,channel_631,752,2235,9630,49,19,291,1000,20,0,676,5000,46,2,True
5bf4dca8-5f76-4ac0-a982-829a64e7a4f3,channel_799,1136,216,5155,7,1,63,1000,1,0,105,5000,2,0,False
8dd624f6-66ed-4ad0-90e8-d65941a4f71a,channel_680,51,863,5448,27,2,251,1000,11,1,488,5000,26,3,True
f40169fc-3664-439c-a0ef-0d6b072a04c0,channel_978,1319,884,4515,58,7,297,1000,14,1,726,5000,46,2,True
50834934-88ea-4b7f-a1ad-9f36cad34257,channel_643,455,714,4498,14,4,193,1000,13,1,299,5000,9,1,False
9f183250-7855-4356-9408-d80eb65fed51,channel_31,1529,536,5842,21,3,109,1000,2,0,239,5000,15,0,True
537e3555-96c4-4c4a-899f-27346a9f3891,channel_112,283,698,4955,27,5,205,1000,11,0,356,5000,3,1,False
211f90b7-36a0-42d0-a070-3981192a8d9c,channel_936,1040,501,3705,26,1,152,1000,9,1,267,5000,4,0,False
7587b447-dc09-4655-ab44-4696588a9dcb,channel_394,1153,665,4022,18,5,213,1000,9,0,353,5000,9,1,False
629dfa26-9097-4619-b355-6d72fccfee10,channel_399,1565,1721,10523,82,4,223,1000,6,1,465,5000,27,2,True
299817d8-7b9f-49cd-8a41-7e515bc0698c,channel_652,1131,791,3983,30,3,230,1000,17,1,370,5000,14,1,False
3031a629-e8c0-4bb0-bfdb-c702024b107c,channel_120,1034,432,3952,17,1,161,1000,7,1,269,5000,3,0,False
d723fd61-7ed8-4dfe-a9bc-e59408cad667,channel_464,976,392,5419,24,3,98,1000,5,0,244,5000,9,0,True
315db068-d968-47cd-99e6-7920ad07c75d,channel_670,323,391,4655,8,3,124,1000,4,1,308,5000,8,0,True
fe818739-ba97-4458-8aa5-13eb98485c20,channel_447,441,1404,7362,53,13,237,1000,15,0,375,5000,13,0,True
ba8001cb-9e09-4a47-8316-ce5ee8b2346b,channel_593,1120,807,13281,49,3,92,1000,4,0,169,5000,5,0,True
c43fb31c-ad4d-4b8a-9571-399a29b35415,channel_15,230,286,5374,11,1,59,1000,1,0,89,5000,1,0,True
5b0a004d-d93a-49df-8ee6-3fc8fc6391c6,channel_516,249,1599,7049,95,15,282,1000,8,2,422,5000,22,2,True
ec2d0c73-89ec-4117-8bff-25f8a82d8b17,channel_482,270,637,4286,40,2,208,1000,12,1,373,5000,12,1,False
169962f5-a694-447f-a230-887e5f427ca2,channel_145,1683,1850,13478,57,15,193,1000,13,0,423,5000,20,1,True
3a689e4a-6dff-4561-99bc-460017ab26c4,channel_286,69,1651,9666,54,5,189,1000,9,1,422,5000,19,2,True
44dee2a8-65b7-4a7a-9920-fe489af02946,channel_851,880,824,3711,18,4,276,1000,2,1,484,5000,14,2,False
b24662e3-ad91-44e7-8688-231142dce1ba,channel_62,1239,536,5836,11,5,142,1000,2,0,346,5000,23,0,True
7b84587c-754f-41cb-ba03-b3d8247cc9ca,channel_731,1755,1598,13647,50,7,184,1000,11,0,421,5000,29,2,True
08b73ec2-8a8c-4d4e-850d-b6f305857eb4,channel_932,1163,196,4653,11,1,65,1000,3,0,116,5000,2,0,True
0ac16a7e-45e5-468e-9d3d-124d2df48da0,channel_521,1559,814,3245,33,7,286,1000,6,2,452,5000,23,1,True
6e4ad2aa-6d68-4b6c-862c-523f230d7ae6,channel_23,801,1676,9767,48,6,231,1000,3,1,473,5000,32,3,True
a2125430-ba24-4760-9c45-fb623f222b6e,channel_331,1702,1941,11722,45,9,225,1000,14,0,461,5000,29,3,True
f705e4de-4683-4721-bd8b-c72c4d851317,channel_712,284,667,4826,18,4,209,1000,14,0,271,5000,3,0,False
95ccad68-7a47-4827-92c9-159fa5fe5da5,channel_461,124,429,10690,19,3,58,1000,0,0,109,5000,1,0,True
eb444ffe-c4c6-49f7-9cf4-93c02f7d8474,channel_614,1083,327,5865,16,2,89,1000,5,0,155,5000,3,0,False
628810ea-fef8-4b33-af1d-9fb6b3dd4ab2,channel_466,239,888,4868,24,6,237,1000,18,0,313,5000,8,0,False
1d067d5c-07a9-4476-bb2d-a919691bd439,channel_15,1488,758,4334,17,6,256,1000,16,2,412,5000,9,0,False
d898941d-62d2-47f1-b325-68e32cadeea8,channel_590,1357,2469,13805,94,23,266,1000,14,2,422,5000,11,1,True
519fbfcb-637f-45ea-b92e-959d43439c8d,channel_133,887,1484,10431,55,7,214,1000,8,1,483,5000,13,3,True
9631690a-b6a4-4391-9daa-5361593ee8fd,channel_448,993,761,4324,38,6,205,1000,6,0,478,5000,13,3,True
f00211c2-939a-4ac9-bdc9-1986d5daf1ef,channel_97,400,1245,8240,50,10,185,1000,10,0,301,5000,19,1,True
08d2bc87-3581-4373-960f-c59cd8ebd4e7,channel_371,1137,267,3622,14,2,82,1000,2,0,118,5000,3,0,False
d9872463-fa36-4762-8d4b-919cc9451d37,channel_920,906,399,4072,20,0,139,1000,6,1,226,5000,3,0,False
2ecc6166-dd43-4e5c-b760-753d9fb04bce,channel_544,886,352,4031,23,2,107,1000,7,0,154,5000,3,0,False
226bbdf7-998a-4253-9bf2-464e9bc5d64f,channel_511,749,1170,4900,67,6,295,1000,11,1,401,5000,6,0,False
626edb7c-cde3-447d-9708-d8e72c99d507,channel_283,1666,441,3250,11,3,172,1000,3,0,302,5000,9,1,False
f78b1d71-815e-4a5b-92a6-9bf4b573580d,channel_960,916,870,7750,55,4,161,1000,10,1,292,5000,7,1,True
b994aaa3-3196-4356-9589-cf204f604852,channel_715,1708,1883,10757,67,9,212,1000,14,1,396,5000,27,2,True
5fcf9d63-bdb5-4d17-baaf-b07b4f24d324,channel_855,1476,1978,8690,77,16,271,1000,12,2,390,5000,8,0,True
a9c7a7a3-229f-4d5d-a318-9966e61838c8,channel_247,199,334,3068,7,1,127,1000,4,0,182,5000,5,1,True
dd10ec27-ff7f-4eb3-839a-40d34b4c4209,channel_524,975,1339,5697,30,2,277,1000,18,0,590,5000,11,2,True
557879fd-07db-4455-a1d6-6d6bc8ade3cf,channel_11,913,1228,12258,75,6,132,1000,5,0,222,5000,5,1,True
0ad80d48-eb76-462f-8d33-57f1dff0e1d9,channel_731,812,570,4957,31,4,171,1000,11,1,296,5000,8,1,False
fee446d7-b253-4dea-af81-2d65b2522a55,channel_977,93,223,3518,7,0,88,1000,4,0,113,5000,4,0,False
d62fda31-8025-4a5b-aac2-1c0b0544beb2,channel_947,174,1026,5959,44,6,258,1000,2,0,440,5000,13,1,False
2915c578-f2a3-4e3c-8b77-8bc0b5ce34a9,channel_551,314,1125,5761,55,4,291,1000,10,2,359,5000,6,1,False
c441abde-6d5e-4095-9333-ffcd572d8365,channel_90,564,590,4807,25,4,150,1000,3,0,250,5000,4,0,False
e3877a37-c388-421c-8d41-22e20f9a2e43,channel_441,1096,938,8854,42,5,136,1000,10,0,308,5000,18,0,True
f425cfcf-a913-498f-b0e1-0c013721a5bf,channel_154,61,938,6608,54,9,180,1000,2,0,437,5000,24,1,True
d7876f10-9d11-4ece-865c-d08ddda909c1,channel_943,751,133,2966,8,0,53,1000,4,0,70,5000,2,0,False
754f4f98-886c-4910-879a-6416ef81e77d,channel_36,843,1290,5796,72,5,292,1000,4,2,512,5000,17,0,True
c4b8229c-b1c9-43fd-952a-b479bf1e2b65,channel_930,1175,718,5404,31,6,194,1000,8,1,250,5000,5,0,False
0a53e1ed-5736-462e-9ead-2bc19884aa3f,channel_248,840,873,5271,39,8,250,1000,3,0,317,5000,9,1,False
52df9d57-7b05-4e67-a677-d064b36ac6ed,channel_317,614,1698,11244,92,9,176,1000,8,1,380,5000,10,0,True
81e26a6a-739a-46a8-a4d2-9ba79ad79a41,channel_632,1730,2083,9660,45,4,243,1000,4,1,455,5000,24,1,True
4d5a5aba-0229-4808-89e2-0deb9f33795b,channel_834,950,606,4327,36,2,166,1000,2,1,250,5000,6,1,False
f9c3e9df-6d0a-4074-adba-3b01f5f58e83,channel_162,1443,1366,10900,59,5,183,1000,11,0,430,5000,26,2,True
229a54ec-e6af-443e-a337-210b0b1ac2c0,channel_125,1666,957,4925,34,6,287,1000,19,1,682,5000,34,2,True
bc4697fd-cb22-4b5f-b580-f46c8f219c4d,channel_848,582,1421,9157,81,10,224,1000,10,1,477,5000,12,1,True
20da68a2-78c3-410e-88ae-db1232c22295,channel_222,1309,1165,11677,72,6,146,1000,4,0,235,5000,10,1,True
039be8a0-aec4-412c-b0db-b9826ca11671,channel_928,1732,568,14135,34,5,64,1000,0,0,126,5000,3,0,True
7948647a-79e7-43ea-98ae-4cb9db068bd8,channel_230,31,451,3789,19,4,174,1000,4,1,260,5000,4,0,False
baa4d7da-df3a-4473-b381-a6d1e76694d4,channel_473,528,479,9208,18,3,81,1000,6,0,186,5000,2,1,True
e927b329-d69d-4e69-94b4-81b6a7102ef6,channel_541,1613,316,4465,7,1,92,1000,5,0,115,5000,2,0,False
a24b82a0-8521-472d-b144-7b73abe3a44a,channel_584,1065,723,4283,32,6,254,1000,19,2,441,5000,16,0,False
17b75ff6-73a5-4fc4-8471-cc4bb7e85e28,channel_833,1063,1062,5387,49,9,273,1000,8,0,399,5000,15,1,False
7a6049f1-4a16-423d-9922-8aa4df59cac3,channel_422,1567,811,3718,45,6,275,1000,3,1,364,5000,7,0,False
63d0176e-d934-4791-b2d8-2c15f7fe17ba,channel_761,1086,1746,10393,61,7,232,1000,9,1,509,5000,31,3,True
b262ffbc-8172-4773-8122-0963a26c39c6,channel_49,1052,707,4057,37,4,229,1000,12,0,285,5000,10,0,False
8dd424ef-329b-489c-b269-cbe04bddaacf,channel_824,1076,495,10517,30,4,57,1000,3,0,97,5000,5,0,True
49dfbf7c-4303-4bd2-9cce-f69ea094faab,channel_532,21,207,4982,9,0,61,1000,3,0,80,5000,2,0,False
b5699a5f-b0c8-4dd3-8e93-ee1209adc77d,channel_953,679,1555,9734,41,10,223,1000,12,1,464,5000,14,3,True
c0f108f7-b4be-4ec8-b7ee-8c32c7e5c8cd,channel_668,1221,603,4317,41,5,162,1000,7,0,204,5000,3,0,False
4225f566-6926-411a-9137-53bf8451e577,channel_172,392,2728,12502,155,19,294,1000,6,2,648,5000,24,2,True
8772fb16-1962-45ca-bd17-c5d51267d31e,channel_283,1355,347,2801,10,1,137,1000,3,1,217,5000,4,1,True
e25a865e-d1c6-4a87-8011-089ebdb09993,channel_781,883,726,3010,37,2,290,1000,12,1,415,5000,5,1,False
28bc0866-eba2-4f17-a973-8607b7b11b78,channel_514,1081,528,4606,33,5,148,1000,5,1,180,5000,2,0,False
e9b14069-4a5b-4701-a5d4-48e724ed6c71,channel_30,210,634,5246,30,2,190,1000,11,1,367,5000,14,2,True
6bc7d488-5823-4845-adf3-965868db4131,channel_771,1343,508,3577,10,4,174,1000,13,1,298,5000,10,0,False
95db7195-818b-49ff-bb05-a8105e609173,channel_888,622,473,4136,26,3,136,1000,2,1,209,5000,6,0,False
41d2ba51-9a6a-431f-a5d9-c5c425563978,channel_729,714,1160,8734,35,8,185,1000,14,1,430,5000,15,1,True
9a84ba38-7092-4e3e-adb8-c4f1882de445,channel_388,907,816,4389,16,3,288,1000,5,1,496,5000,7,1,False
667a6b80-a957-4f9d-9a7f-a6077803f8e5,channel_889,105,402,3779,23,2,145,1000,6,0,176,5000,5,0,False
ddd955f4-873b-4c04-96a8-3a9ca263c795,channel_442,1638,746,13711,37,6,85,1000,4,0,134,5000,6,0,True
bdb11b46-93c5-41e9-aac7-a552d645ae5f,channel_70,1223,283,3366,9,0,107,1000,3,0,190,5000,4,1,True
